dias_mora_prom,edad,ingreso_mensual,ventas_anuales,monto_solicitado,plazo_meses,propiedad_completa,estado_legal,tiene_garante,rastreo_instalado,riesgo_real,score_ordinal,segmento_credito_Consumo,segmento_credito_Inmobiliario,segmento_credito_Microcrédito,producto_Back-to-back,producto_Consumo General,producto_Digital,producto_Mi Negocio,producto_Sueldo,producto_Vehicular Trabajo,producto_Vivienda,garantia_Hipotecaria,garantia_Personal,garantia_Prendaria,estado_civil_Divorciado,estado_civil_Soltero,estado_civil_Unión Libre,estado_civil_Viudo
0,37,381.48,0.0,4487.93,24,1,0,1,0,0,1,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,47,780.12,0.0,6617.87,12,0,0,1,0,0,2,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
2,31,750.68,0.0,3383.15,84,1,0,1,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
18,25,255.54,0.0,67612.98,12,0,0,1,0,1,4,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
0,32,2391.66,0.0,17342.4,24,0,0,1,0,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,63,810.07,0.0,6008.95,36,0,0,1,0,0,3,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
3,48,399.1,0.0,27043.29,48,1,0,1,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
7,31,613.46,0.0,52527.89,84,1,0,1,0,1,3,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
0,31,962.21,0.0,79039.4,24,1,0,1,0,0,1,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
3,51,724.65,0.0,44471.67,36,1,0,1,0,0,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
0,42,782.15,14078.7,6072.58,84,0,0,1,0,0,2,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False
6,32,548.65,9875.7,9782.94,36,1,0,1,0,0,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0,37,312.91,5632.38,16295.87,48,1,0,1,0,1,1,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False
4,34,1152.66,0.0,28820.73,48,1,0,0,0,0,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
3,51,1404.89,25288.02,3652.98,84,1,0,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1,39,787.68,0.0,18418.82,24,1,0,0,0,0,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2,41,595.95,0.0,2716.2,24,1,0,1,0,0,3,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
5,45,795.17,0.0,29996.48,48,1,0,1,0,0,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,46,756.39,0.0,10950.47,84,1,0,1,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
2,29,778.41,0.0,6804.1,48,1,0,0,0,0,3,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
0,39,771.29,13883.22,18339.93,84,1,0,0,1,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False
0,33,757.88,13641.84,8104.36,24,1,0,1,0,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,67,254.83,0.0,13971.93,36,1,0,1,0,1,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,38,656.38,0.0,11112.66,12,1,0,0,0,1,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
1,41,1177.81,21200.58,11025.8,60,1,0,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
2,68,968.71,17436.78,6922.61,84,1,0,0,1,0,3,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
5,31,699.12,0.0,6489.71,24,1,0,0,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,36,517.11,9307.98,5184.13,12,1,0,1,1,0,2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False
5,36,556.48,0.0,19605.73,24,1,0,1,0,0,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
27,34,878.36,15810.48,3513.93,60,1,1,1,1,1,4,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True
11,36,1273.72,0.0,9925.29,12,1,0,1,0,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
13,56,431.14,0.0,20849.56,84,1,0,1,0,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
0,21,770.11,0.0,11059.1,12,1,0,1,0,1,1,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
0,71,465.37,0.0,7439.02,24,0,0,1,0,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
4,46,822.41,0.0,12216.32,60,1,0,0,0,1,3,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
4,33,1064.51,0.0,13932.32,24,1,1,1,0,1,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
4,46,669.48,12050.64,18146.41,24,0,0,0,0,1,3,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
4,41,1375.77,0.0,75223.67,48,0,0,1,0,1,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
17,63,625.11,0.0,8162.44,36,1,1,0,0,1,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,35,963.11,0.0,5047.27,12,1,0,1,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
4,43,725.3,13055.4,19254.8,12,1,0,1,0,1,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False
1,37,806.46,14516.28,3277.85,60,1,0,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,48,411.78,0.0,10031.91,60,1,0,0,0,0,3,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
0,45,1327.43,0.0,30514.59,48,0,0,1,0,1,1,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
2,49,747.06,0.0,16150.77,12,0,0,0,0,1,3,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,47,726.39,0.0,8295.7,60,1,0,1,0,0,3,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
0,44,525.33,0.0,5858.14,24,1,0,0,0,0,1,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False
9,40,1146.51,0.0,12348.01,36,1,0,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
7,46,241.64,0.0,22502.86,12,1,0,0,0,0,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1,33,730.13,0.0,33314.16,24,1,0,1,0,0,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1,38,562.77,0.0,47851.59,36,1,0,1,0,0,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
5,62,567.41,0.0,6641.85,36,1,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
2,45,311.16,0.0,25502.83,48,0,0,1,0,0,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
0,28,522.11,0.0,1591.04,84,0,1,1,0,1,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
0,28,131.55,2367.9,3421.46,36,1,0,0,0,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1,59,398.54,0.0,28654.97,24,1,0,1,0,0,3,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
0,57,407.18,0.0,48704.93,84,1,0,0,0,0,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
